term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh,strategy,scope
Intercept,-0.797559962771021,0.4854878521520763,0.10042409885481564,0.45042668220960125,0.17392760092578496,1.1664864861381024,1010,0.32135711633541003,身份否定,adjudicated
C(reply_source_type)[T.browser],-21.879664391797657,0.5117332686396137,0.0,3.1461721963245317e-10,1.153948259865761e-10,8.577853819959838e-10,1010,0.0,身份否定,adjudicated
is_author,0.05332195198420912,0.48644533965366227,0.9127143128589918,1.0547691754891164,0.4065245680809875,2.7367054808366493,1010,0.9967937957658854,身份否定,adjudicated
source_negative,-0.0033267198334235564,0.8278734153937098,0.9967937957658854,0.9966788075679307,0.19672300336076057,5.0495805192306005,1010,0.9967937957658854,身份否定,adjudicated
is_author:source_negative,-1.1493603595493507,1.255273795830673,0.359863493002729,0.316839367853093,0.02706004483472354,3.709793743310078,1010,0.719726986005458,身份否定,adjudicated
log_reply_length,-0.5877355779101581,0.13946074083734097,2.5050489769463774e-05,0.5555839379427353,0.4227058930953953,0.7302323368136635,1010,0.0001002019590778551,身份否定,adjudicated
e0,-0.47342300768302004,0.4770045399419082,0.3209577662491192,0.6228665381122143,0.24454598599599514,1.586461224132495,1010,0.719726986005458,身份否定,adjudicated
e1,-22.350078853548784,0.4247821763458091,0.0,1.9655499449956915e-10,8.548741710433014e-11,4.519245892711474e-10,1010,0.0,身份否定,adjudicated
e2,-0.19485565744860042,1.101010267194656,0.8595249123209303,0.8229534366821409,0.09509909924375723,7.121543361951503,1010,0.9967937957658854,身份否定,adjudicated
e3,0.021693264800929053,0.41846316260801325,0.9586559269788307,1.021930274404454,0.45000592307712817,2.320728310870186,1010,0.9967937957658854,身份否定,adjudicated
e4,-0.20880500562380194,0.6930004827475534,0.7631813837225473,0.8115534685780006,0.208652320229187,3.156538262491144,1010,0.9967937957658854,身份否定,adjudicated
e5,0.1592547399785586,0.5306817751216658,0.7641049909623145,1.1726366260652934,0.4144174253795265,3.3180956508537003,1010,0.9967937957658854,身份否定,adjudicated
e6,-22.260758985603772,0.6826024758132699,2.8086328152933937e-233,2.1491919716013582e-10,5.639391585257599e-11,8.190646208840529e-10,1010,1.49793750148981e-232,身份否定,adjudicated
e7,-0.5692564229675581,0.5760364445785504,0.32304008060885125,0.5659461068072048,0.18299657277134646,1.7502786580076526,1010,0.719726986005458,身份否定,adjudicated
e8,0.12480096147659482,1.0020156752683937,0.9008798860710747,1.1329229353160335,0.1589525161309989,8.074828940155335,1010,0.9967937957658854,身份否定,adjudicated
e9,-0.4176175084254106,0.5367561030112278,0.43654566306489795,0.658614094595501,0.23000379496955856,1.8859363849073107,1010,0.7760811787820407,身份否定,adjudicated
