term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh,strategy,scope
Intercept,-9.657445828447603,1.3439045564659062,6.666339513855399e-13,6.394764677869962e-05,4.590604886052563e-06,0.0008907979732600559,5411,3.5553810740562127e-12,公共价值回应,full_hybrid
C(reply_source_type)[T.browser],-20.565304298774244,0.6158259728366752,1.638422365515592e-244,1.1711211503813742e-09,3.5026776694396237e-10,3.915646480511057e-09,5411,1.3107378924124736e-243,公共价值回应,full_hybrid
is_author,1.7795091102368912,0.8266753316791408,0.031349387209270295,5.926946227128593,1.1726022919636176,29.95789094054048,5411,0.055732243927591636,公共价值回应,full_hybrid
source_negative,0.6644808084921242,0.5056237209565627,0.1887854863170889,1.9434812204039167,0.7214143025676534,5.235714402416473,5411,0.2745970710066748,公共价值回应,full_hybrid
is_author:source_negative,0.7231961100425263,0.7301498830184927,0.32194139746077555,2.0610099095884182,0.4926788876456616,8.621765523016856,5411,0.3962355661055699,公共价值回应,full_hybrid
log_reply_length,1.1783882519816118,0.29824715858430456,7.78103555723562e-05,3.249133196442508,1.8108997498988189,5.829625040709492,5411,0.00024899313783153983,公共价值回应,full_hybrid
e0,0.38080284530564606,0.3567740169178491,0.28581369325459505,1.4634590491440185,0.7272578207092749,2.9449148947381008,5411,0.38108492433946006,公共价值回应,full_hybrid
e1,-2.5656089490034475,1.1673660751937143,0.027965084400794163,0.07687235584159778,0.007799883694314135,0.7576214369638565,5411,0.055732243927591636,公共价值回应,full_hybrid
e2,-0.32415640279379415,0.5737726545610352,0.5721035749722868,0.7231371328668744,0.23486349505088974,2.226515929253359,5411,0.6102438133037726,公共价值回应,full_hybrid
e3,-1.2100240019082984,0.49730861543535454,0.014968302757139812,0.29819012221202545,0.11250598169132717,0.7903344128739525,5411,0.034213263444891,公共价值回应,full_hybrid
e4,-0.4175658366038802,0.5869167912009451,0.4768013232789913,0.6586481272647118,0.20847779392798793,2.0808804015796545,5411,0.5449157980331328,公共价值回应,full_hybrid
e5,2.353222574320031,0.5716830444187071,3.849924283215622e-05,10.519414757229667,3.4305610089337573,32.25655703147357,5411,0.00015399697132862487,公共价值回应,full_hybrid
e6,-22.024878460999265,0.6171047635827711,5.518170876813433e-279,2.72092655886129e-10,8.117581177988421e-11,9.120255377047366e-10,5411,8.829073402901493e-278,公共价值回应,full_hybrid
e7,-0.15592231923841773,0.32372477293872043,0.6300539810093071,0.8556256534419228,0.4536529166015248,1.6137783579400373,5411,0.6300539810093071,公共价值回应,full_hybrid
e8,0.5888003622224938,0.405390602124672,0.14638284062774265,1.8018255803132825,0.8140241721196092,3.988303459610606,5411,0.23421254500438823,公共价值回应,full_hybrid
e9,-1.1729507996078872,0.4815883832514489,0.014867615206681605,0.30945246050518066,0.12040863483495472,0.795298654817993,5411,0.034213263444891,公共价值回应,full_hybrid
