term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh,strategy,scope
Intercept,-1.706770485405945,0.16597269820174992,8.368518233807114e-25,0.1814508455439302,0.13106302378428375,0.25121051230129865,5411,1.3389629174091382e-23,反讽与情绪,full_hybrid
C(reply_source_type)[T.browser],-1.0311383474106703,1.024408333694002,0.3141416209147433,0.356600793843273,0.04788376911071295,2.6556833042034333,5411,0.7180379906622704,反讽与情绪,full_hybrid
is_author,-0.06048716006201126,0.21780140571854797,0.7812295847242348,0.9413058552496221,0.6142348603432939,1.44253732624685,5411,0.8140543356592498,反讽与情绪,full_hybrid
source_negative,0.29396725909122157,0.08601379759361967,0.0006315833197951244,1.3417399731617472,1.133579375937836,1.5881253609529415,5411,0.005052666558360995,反讽与情绪,full_hybrid
is_author:source_negative,0.14931916031164882,0.2456848601072024,0.5433419921551512,1.1610434890833266,0.7173272223035182,1.879228811662754,5411,0.7876696206186765,反讽与情绪,full_hybrid
log_reply_length,0.12607427202506247,0.042832020249466245,0.0032456738537509425,1.1343664168452725,1.0430232970393087,1.2337089414196347,5411,0.01731026055333836,反讽与情绪,full_hybrid
e0,-0.08989609829574424,0.08561731338954794,0.2937292865763713,0.9140261492123226,0.7728223833513932,1.081029508773998,5411,0.7180379906622704,反讽与情绪,full_hybrid
e1,-0.06469894213836357,0.10505805354759176,0.5380001846392083,0.9373496173743453,0.7629118943096997,1.1516720498725885,5411,0.7876696206186765,反讽与情绪,full_hybrid
e2,0.03321137852352396,0.12460026558569473,0.7898207389387113,1.0337690327198785,0.8097699030139407,1.3197309618855955,5411,0.8140543356592498,反讽与情绪,full_hybrid
e3,-0.1491306760627162,0.09649362108395351,0.12222590823861881,0.8614565357951226,0.713011183621459,1.0408074657327138,5411,0.48890363295447525,反讽与情绪,full_hybrid
e4,-0.07731721227410683,0.1437800937566076,0.5907522154640074,0.9255961965587328,0.6982862248367757,1.2269013602326932,5411,0.7876696206186765,反讽与情绪,full_hybrid
e5,-0.1162779880792228,0.18996923578568836,0.5404791935536868,0.8902277162041573,0.6134738192081031,1.2918324497059512,5411,0.7876696206186765,反讽与情绪,full_hybrid
e6,-0.07351093473846076,0.3125479117741589,0.8140543356592498,0.9291259859863181,0.5035335971622539,1.714433957734253,5411,0.8140543356592498,反讽与情绪,full_hybrid
e7,0.1240922819686323,0.12100092429079591,0.30510458741641744,1.1321203404725242,0.8930885618298269,1.4351280713813959,5411,0.7180379906622704,反讽与情绪,full_hybrid
e8,0.04713395751987781,0.1250441375429078,0.7062192624008032,1.0482624223090153,0.8204087789174039,1.3393982783499605,5411,0.8140543356592498,反讽与情绪,full_hybrid
e9,-0.09983117772178488,0.12246212992387581,0.4149576069791773,0.9049901876453806,0.7118721471012392,1.150497660386684,5411,0.7876696206186765,反讽与情绪,full_hybrid
