term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh,strategy,scope
Intercept,-4.65719774038329,0.3937676915434907,2.821623234496025e-32,0.009493027090205025,0.004387558241735922,0.02053934292612643,5411,1.12864929379841e-31,身份否定,full_hybrid
C(reply_source_type)[T.browser],-22.495800288368983,0.33286479386395296,0.0,1.699018347399038e-10,8.848259195446669e-11,3.262408210514494e-10,5411,0.0,身份否定,full_hybrid
is_author,1.092772445848081,0.4403686155598938,0.013083260571657885,2.9825315277510605,1.2581595258629414,7.070243582925518,5411,0.04186643382930523,身份否定,full_hybrid
source_negative,0.007736081493228391,0.5796962808101909,0.9893524989152884,1.0077660822846195,0.3235283191828301,3.1391146196057287,5411,0.9893524989152884,身份否定,full_hybrid
is_author:source_negative,-1.1075912453620484,1.1631976341680892,0.34099797682213906,0.3303537445861071,0.03379445279911273,3.22933462514677,5411,0.6819959536442781,身份否定,full_hybrid
log_reply_length,-0.059265535269126285,0.11195052433805501,0.5965346414065351,0.942456480493149,0.7567755544476394,1.1736957046291439,5411,0.8920358054895751,身份否定,full_hybrid
e0,-0.1712367229808872,0.38284107221429947,0.6546737198722867,0.842622081849449,0.3978798417142201,1.784488426860968,5411,0.8920358054895751,身份否定,full_hybrid
e1,-22.775350257634198,0.30400306120484605,0.0,1.284668453616368e-10,7.079758276169442e-11,2.331114949605338e-10,5411,0.0,身份否定,full_hybrid
e2,0.14200845207098448,0.7157857608338072,0.8427358804195597,1.1525863902378222,0.283389886360616,4.687730405703268,5411,0.9325516369111505,身份否定,full_hybrid
e3,-0.056854462846984435,0.35929109652490754,0.8742671596042036,0.9447315529023729,0.46716862176774276,1.9104829936396122,5411,0.9325516369111505,身份否定,full_hybrid
e4,0.49309046497219955,0.4736574833878995,0.2978627861682328,1.637368639197758,0.6470846214958742,4.14316145302707,5411,0.6808292255273892,身份否定,full_hybrid
e5,0.8238425764106192,0.5332637369376588,0.12236889778440214,2.2792411905510854,0.8014326439250653,6.482067387799667,5411,0.3263170607584057,身份否定,full_hybrid
e6,-23.025798157329728,0.40315003281833584,0.0,1.0000527740032276e-10,4.5378975100787943e-11,2.2038962946392883e-10,5411,0.0,身份否定,full_hybrid
e7,-0.20798090372644892,0.4865232745712644,0.6690268541171813,0.812222546987786,0.31299548236458574,2.1077156157381305,5411,0.8920358054895751,身份否定,full_hybrid
e8,0.5075578725330148,0.7380977754173125,0.49166900018859394,1.6612293034253607,0.39097417597216055,7.0584784575532,5411,0.8740782225575003,身份否定,full_hybrid
e9,-0.15393535681955167,0.4389714488065534,0.7258338170620269,0.8573274395926024,0.36264916615702825,2.0267807216193776,5411,0.8933339286917253,身份否定,full_hybrid
