term,coef,se,p_value,odds_ratio,ci_low,ci_high,n,p_fdr_bh,strategy,scope
Intercept,-0.2058182480686849,0.2936306003946092,0.4833387279320084,0.8139810054591028,0.45779480245285137,1.4472970721777692,5411,0.7030381497192849,同层直接回应,full_hybrid
C(reply_source_type)[T.browser],1.7832498584675727,0.8926641090982964,0.045752260620712755,5.949158960961202,1.0342000244639264,34.22209582825191,5411,0.12200602832190068,同层直接回应,full_hybrid
is_author,0.9029863046144198,0.1646125251164838,4.1224065836569844e-08,2.466959213591943,1.7866560699271905,3.406300666347155,5411,6.595850533851175e-07,同层直接回应,full_hybrid
source_negative,-0.11816281704977438,0.10967869340204782,0.28132199157878446,0.8885513695239411,0.7166748298408618,1.1016482000047156,5411,0.48677511551151653,同层直接回应,full_hybrid
is_author:source_negative,0.10843365874314155,0.20173613500315793,0.5909206206813367,1.1145309667005325,0.7505348705752749,1.6550587113724773,5411,0.7196238653402488,同层直接回应,full_hybrid
log_reply_length,-0.21622446122443173,0.0783192848661196,0.005765866803672003,0.8055544658371516,0.6909206747493657,0.939207670497885,5411,0.02306346721468801,同层直接回应,full_hybrid
e0,0.11492001455190916,0.11185571355955258,0.30423444719469783,1.1217837076109263,0.9009394884835153,1.3967627157507387,5411,0.48677511551151653,同层直接回应,full_hybrid
e1,-0.23275170263811532,0.12121814089469493,0.054844487619966915,0.7923502875876085,0.6247902667320709,1.0048475651260325,5411,0.12535882884563868,同层直接回应,full_hybrid
e2,-0.01598791182475935,0.20543278700573325,0.9379668523728798,0.9841392164306917,0.6579435284553595,1.4720564234298552,5411,0.9379668523728798,同层直接回应,full_hybrid
e3,-0.20891753207266037,0.10279376357108821,0.04211368292702016,0.8114621524859569,0.6633892820616378,0.9925858658294717,5411,0.12200602832190068,同层直接回应,full_hybrid
e4,0.5623026152882924,0.15860147136237304,0.00039204622474308624,1.7547082701896544,1.2858805433534735,2.3944690114387925,5411,0.00313636979794469,同层直接回应,full_hybrid
e5,0.6344032223965718,0.18462242514434857,0.0005898923078940849,1.8858963448660504,1.3133002830223155,2.708143042042347,5411,0.0031460923087684527,同层直接回应,full_hybrid
e6,0.4168831033975575,0.25725614065327423,0.10512530857610448,1.5172251441038938,0.916366456818219,2.512065037707646,5411,0.21025061715220897,同层直接回应,full_hybrid
e7,-0.06572564339961401,0.1317448176566143,0.617859706434817,0.9363877332082924,0.7232896707134862,1.2122694715632074,5411,0.7196238653402488,同层直接回应,full_hybrid
e8,0.07386461487902224,0.1532675411342229,0.6298538717814779,1.0766610317446093,0.7972876369464889,1.453928198005117,5411,0.7196238653402488,同层直接回应,full_hybrid
e9,0.05610548265775813,0.13365501369393026,0.6746473737564832,1.057709247835066,0.8139483686384997,1.3744715218572947,5411,0.7196238653402488,同层直接回应,full_hybrid
