note_frame,AI平台,专业身份,公共价值,升学报考,就业职业,未识别,能力训练,课程知识
AI平台,37,0,1,0,2,7,3,5
专业身份,0,0,0,1,3,1,1,4
公共价值,0,1,4,0,4,1,1,1
升学报考,2,0,0,16,12,5,0,22
就业职业,6,2,0,2,110,1,2,10
未识别,31,0,7,3,120,65,25,59
能力训练,0,0,0,0,7,3,5,3
课程知识,8,1,0,6,27,9,1,49
