term,coef,se,p_value,odds_ratio,ci_low,ci_high
Intercept,1.1278813971713793,0.12805331809071785,1.2750698771226241e-18,3.0891049759964146,2.4034300239854995,3.9703962493161327
C(query_category)[T.专业价值争议],1.7006532575679707,0.0988444072495647,2.420826712852542e-66,5.477524457532965,4.512801876942481,6.648480257059204
C(query_category)[T.专业名称与总体讨论],1.8319919347106892,0.0996471574756617,1.739159984548714e-75,6.246316529377996,5.138100743658314,7.593558813212592
C(query_category)[T.公共价值与职业意义],3.6516871141167906,0.26760818828090505,2.143003453340192e-42,38.539631988329226,22.809453223251552,65.1178798219397
C(query_category)[T.学科与方法],-0.15617469402080753,0.24395025281971852,0.5220485991515723,0.8554097423502316,0.5302974573722294,1.3798403464606326
C(query_category)[T.就业与职业结果],1.8825459710327164,0.12325706187787838,1.151373079682564e-52,6.570211153575881,5.160131841018672,8.365614665002646
C(query_category)[T.教育组织与培养体系],1.2724200392553873,0.10047476338485958,9.35149696978238e-37,3.569480400982341,2.931427491999987,4.346411558112354
C(query_category)[T.课程知识与专业训练],0.5350400125489341,0.10280699083931585,1.9471299674260492e-07,1.7075165629773912,1.3958985230929346,2.0886996902768487
rank_log,-0.7640516845752002,0.026636316751649666,5.940768876087009e-181,0.465775423622797,0.4420824546111863,0.4907381937195444
