ability_type,AI辅助强化,可由AI替代,可跨职业迁移,大学教育通用,新闻专业独特,未明确
事实核查与证据,0,0,0,0,1,75
伦理责任与公共判断,0,0,0,1,0,43
信息搜集整理,1,0,1,0,0,29
基础内容生产,2,7,7,8,4,696
平台运营与商业传播,2,2,11,7,2,719
社会解释与议题发现,0,0,0,0,0,119
采访与信源关系,0,0,0,0,1,221
